gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
RPS6KA6	27330	"Knockdown, Overexpression"	"Colon cancer, Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Promotes"	"Overexpression of RSK4 (RPS6KA6) induced cell arrest and cell senescence features (including morphogenic changes, increased SA-beta-galactosidase activity, increased SA-heterochromatin foci and an increase in p21 and p16 markers) both in normal fibroblasts and malignant colon carcinoma cell lines. Contrastly, RSK4 inhibition induced resistance to cellular senescence."	"Overexpression of RSK4 (RPS6KA6) induced cell arrest and cell senescence features (including morphogenic changes, increased SA-beta-galactosidase activity, increased SA-heterochromatin foci and an increase in p21 and p16 markers) both in normal fibroblasts and malignant colon carcinoma cell lines. Contrastly, RSK4 inhibition induced resistance to cellular senescence."
RSL1D1	26156	"Overexpression, Knockout"	"Lung fibroblast"	"2BS"	"No"	"Replicative"	"Inhibits"	"Overexpression of CSIG (RSL1D1) lead to elevated proliferation rates, increased S phase, reduced G1 phase and lower SA-beta-galactosidase activity. By contrast, cells expressing reduced CSIG levels displayed decreased proliferation rates, smaller S and G2/M phases and enhanced SA-beta-galactosidase activity."	"Overexpression of CSIG (RSL1D1) lead to elevated proliferation rates, increased S phase, reduced G1 phase and lower SA-beta-galactosidase activity. By contrast, cells expressing reduced CSIG levels displayed decreased proliferation rates, smaller S and G2/M phases and enhanced SA-beta-galactosidase activity."
RUNX1	861	"Overexpression"	"Foreskin fibroblast"	"Hs68"	"No"	"Replicative"	"Promotes"	"Expression of RUNX1 in human primary foreskin fibroblasts induced growth arrest with cells showing the early onset of senescence, a flattened, enlarged morphology and increased SA-beta-galactosidase activity."	"Expression of RUNX1 in human primary foreskin fibroblasts induced growth arrest with cells showing the early onset of senescence, a flattened, enlarged morphology and increased SA-beta-galactosidase activity."
RUVBL2	10856	"Knockdown"	"Kidney cancer"	"A498, KRC/Y"	"Yes"	"Replicative"	"Inhibits"	"Depletion of reptin (RUVBL2) expression substantially inhibited clonogenic cancer cell potential and induced senescence of kidney cancer cells. Moreover, reptin depletion attenuated migration and the invasive ability of kidney cancer cells in vitro."	"Depletion of reptin (RUVBL2) expression substantially inhibited clonogenic cancer cell potential and induced senescence of kidney cancer cells. Moreover, reptin depletion attenuated migration and the invasive ability of kidney cancer cells in vitro."
SENP1	29843	"Knockdown"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Repression of SENP1 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."	"Repression of SENP1 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."
SENP2	59343	"Knockdown"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Repression of SENP2 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."	"Repression of SENP2 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."
SENP7	57337	"Knockdown"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Repression of SENP7 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."	"Repression of SENP7 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity."
SERPINE1	5054	"Knockdown"	"Foreskin fibroblast"	"Primary cell, BJ"	"No"	"Replicative"	"Promotes"	"RNA interference of PAI-1 (SERPINE1), a p53 target, lead to escape from replicative senescence in primary foreskin fibroblasts (BJ cells). Moreover, expression of PAI-1 in p53-knockdown cells restored cellular senescence, as observed by a flat-cell morphology and positive staining for SA-beta-galactosidase."	"RNA interference of PAI-1 (SERPINE1), a p53 target, lead to escape from replicative senescence in primary foreskin fibroblasts (BJ cells). Moreover, expression of PAI-1 in p53-knockdown cells restored cellular senescence, as observed by a flat-cell morphology and positive staining for SA-beta-galactosidase."
SFN	2810	"Overexpression"	"Melanoma"	"SK-MEL-19, SK-MEL-29, SK-MEL-147"	"Yes"	"Oncogene-induced"	"Promotes"	"Overexpression of SFN induced cellular senescence in melanoma cells and was involved in melanoma cell senescence under genotoxic stress."	"Overexpression of SFN induced cellular senescence in melanoma cells and was involved in melanoma cell senescence under genotoxic stress."
SGK1	6446	"Overexpression"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Umbilical vein endothelial cells overexpressing full-length SGK1 showed a decrease in SA-beta-galactosidase and p21 expression and a corresponding increase in hTERT activity in the early stages of aging."	"Umbilical vein endothelial cells overexpressing full-length SGK1 showed a decrease in SA-beta-galactosidase and p21 expression and a corresponding increase in hTERT activity in the early stages of aging."
SIK1	150094	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
SIN3B	23309	"Overexpression, Knockout"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Promotes"	"SIN3B overexpression induced senescence in primary human fibroblasts (IMR-90) with the cells displaying increased SA-beta-galactosidase activity compared to controls."	"SIN3B overexpression induced senescence in primary human fibroblasts (IMR-90) with the cells displaying increased SA-beta-galactosidase activity compared to controls."
SIRT1	23411	"Overexpression"	"Lung fibroblast"	"2BS"	"No"	"Replicative"	"Inhibits"	"Overexpression of SIRT1 promoted cell proliferation and antagonized cellular senescence with characteristic features of delayed senescence, including reduced SA-beta-galactosidase staining, reduced SA-heterochromatin foci formation and G1 phase arrest, increased cell growth rate and extended cellular lifespan in human fibroblasts."	"Overexpression of SIRT1 promoted cell proliferation and antagonized cellular senescence with characteristic features of delayed senescence, including reduced SA-beta-galactosidase staining, reduced SA-heterochromatin foci formation and G1 phase arrest, increased cell growth rate and extended cellular lifespan in human fibroblasts."
SIRT6	51548	"Knockdown"	"Chondrocyte"	"NHAC-kn"	"No"	"Replicative"	"Inhibits"	"SIRT6 inhibition significantly reduced proliferation and increased SA-beta-galactosidase positive chondrocytes. SIRT6 inhibition also led to increased p16 levels. Immunofluorescence microscopy showed that gamma-H2AX foci and TIFs were increased by SIRT6 inhibition."	"SIRT6 inhibition significantly reduced proliferation and increased SA-beta-galactosidase positive chondrocytes. SIRT6 inhibition also led to increased p16 levels. Immunofluorescence microscopy showed that gamma-H2AX foci and TIFs were increased by SIRT6 inhibition."
SIX1	6495	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"Silencing of SIX1 in human fibroblasts triggered senescence, which was mediated by p16 and lacked a canonical senescence-associated secretory phenotype. SIX1-associated senescence was further characterized by the expression of a set of development and differentiation-related genes that significantly overlapped with genes associated with SIX1 in organogenesis or human tumors. These genes also show regulation in oncogene-induced senescence."	"Silencing of SIX1 in human fibroblasts triggered senescence, which was mediated by p16 and lacked a canonical senescence-associated secretory phenotype. SIX1-associated senescence was further characterized by the expression of a set of development and differentiation-related genes that significantly overlapped with genes associated with SIX1 in organogenesis or human tumors. These genes also show regulation in oncogene-induced senescence."
SLC13A3	64849	"Overexpression"	"Lung fibroblast, Renal tubular"	"MRC-5, WI-38"	"No"	"Replicative"	"Promotes"	"Overexpression of NaDC3 ( SLC13A3) accelerated cellular senescence in young human diploid cells (MRC-5 and WI-38) and primary renal tubular cells, leading to cell cycle arrest in G1 phase and increased expression of senescence biomarkers: SA-beta-galactosidase  and p16."	"Overexpression of NaDC3 ( SLC13A3) accelerated cellular senescence in young human diploid cells (MRC-5 and WI-38) and primary renal tubular cells, leading to cell cycle arrest in G1 phase and increased expression of senescence biomarkers: SA-beta-galactosidase  and p16."
SLC16A7	9194	"Knockdown"	"Gastric cancer, Colon cancer"	"LoVo, HT29, HCT8, HCT116, SW480, DLD1, MKN45, MKN74"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of monocarboxylate transporter 2 (SLC16A7), a protein which is tumor-selectively expressed in human colorectal malignancies, induced mitochondrial dysfunction, cell-cycle arrest and senescence without additional cellular stress in colorectal cancer cell lines."	"Knockdown of monocarboxylate transporter 2 (SLC16A7), a protein which is tumor-selectively expressed in human colorectal malignancies, induced mitochondrial dysfunction, cell-cycle arrest and senescence without additional cellular stress in colorectal cancer cell lines."
SMARCA4	6597	"Knockdown"	"Mesenchymal stem"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Knockdown of BRG1 (SMARCA4) expression in mesenchymal stem cells induced a significant increase in senescent cells and a decrease in apoptotic cells. This was also accompanied by an increase in heterochromatin and activation of the retinoblastoma-like protein 2 (RB2)/P130- and P53-related pathways."	"Knockdown of BRG1 (SMARCA4) expression in mesenchymal stem cells induced a significant increase in senescent cells and a decrease in apoptotic cells. This was also accompanied by an increase in heterochromatin and activation of the retinoblastoma-like protein 2 (RB2)/P130- and P53-related pathways."
SMARCB1	6598	"Overexpression"	"Malignant rhabdoid tumor"	"G-401"	"Yes"	"Replicative"	"Promotes"	"Expression of hSNF5 (SMARCB1) in malignant rhabdoid tumor cells (G-401) blocked cell proliferation and induced senescence. Cells accumulated in the G1 phase and displayed characteristic features of cellular senescence including enlarged, flat cell morphology and increased SA-beta-galactosidase."	"Expression of hSNF5 (SMARCB1) in malignant rhabdoid tumor cells (G-401) blocked cell proliferation and induced senescence. Cells accumulated in the G1 phase and displayed characteristic features of cellular senescence including enlarged, flat cell morphology and increased SA-beta-galactosidase."
SMG1	23049	"Knockdown"	"Retinal pigment epithelial, Embryonic kidney"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including SMG1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including SMG1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
SMURF2	64750	"Overexpression"	"Foreskin fibroblast, Skin fibroblast, Lung fibroblast"	"WI-38, WS1, BJ"	"No"	"Replicative"	"Promotes"	"Overexpression of SMURF2 in early passage fibroblasts resulted in proliferative arrest, increased SA-beta-galactosidase activity, flat cell morphology and senescence-specific alterations in gene expression."	"Overexpression of SMURF2 in early passage fibroblasts resulted in proliferative arrest, increased SA-beta-galactosidase activity, flat cell morphology and senescence-specific alterations in gene expression."
SNAI1	6615	"Knockdown"	"Prostate cancer"	"LNCaP, PC-3"	"yes"	"Replicative"	"Inhibits"	"Suppression of Snail (SNAI1) expression induced senescence in LNCaP cells."	"Suppression of Snail (SNAI1) expression induced senescence in LNCaP cells."
SOCS1	8651	"Knockdown, Overexpression"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative, Oncogene-induced"	"Promotes"	"Expression of SOCS1 inhibited cell growth and induced senescence in normal lung fibroblasts, displaying an increase in SA-beta-galactosidase staining, accumulation of PML bodies, increased levels of p53 and p21, and a reduction in Rb1 phosphorylation. Inactivation of SOCS1 disabled p53-dependent senescence in response to oncogenic STAT5A and radiation-induced apoptosis in T cells."	"Expression of SOCS1 inhibited cell growth and induced senescence in normal lung fibroblasts, displaying an increase in SA-beta-galactosidase staining, accumulation of PML bodies, increased levels of p53 and p21, and a reduction in Rb1 phosphorylation. Inactivation of SOCS1 disabled p53-dependent senescence in response to oncogenic STAT5A and radiation-induced apoptosis in T cells."
SOD1	6647	"Knockdown"	"Lung fibroblast"	"WI-38, WI38-SV40"	"No"	"Replicative"	"Inhibits"	"RNA interference of SOD1 induced cellular senescence in normal human fibroblasts, with cells exhibiting a flat and enlarged cell morphology, and an increase in SA-beta-galactosidase activity."	"RNA interference of SOD1 induced cellular senescence in normal human fibroblasts, with cells exhibiting a flat and enlarged cell morphology, and an increase in SA-beta-galactosidase activity."
SORBS2	8470	"Overexpression"	"Fibroblast, Keratinocyte"	"Primary cell"	"No"	"Replicative"	"Promotes"	"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines."	"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines."
SOX2	6657	"Overexpression"	"Colon cancer, Embryonic kidney"	"HEK293T, HCT116, WiDr"	"Yes"	"Replicative"	"Promotes"	"It was found that SOX2 induced autophagy enhanced cellular senescence by up-regulating tumor suppressors or senescence factors, including p16, p21 and phosphorylated p53 (Ser15)."	"It was found that SOX2 induced autophagy enhanced cellular senescence by up-regulating tumor suppressors or senescence factors, including p16, p21 and phosphorylated p53 (Ser15)."
SOX5	6660	"Overexpression"	"Glioma"	"U-178MG, U-251MG, U-343MG, U-343MGa, U-1242MG"	"Yes"	"Oncogene-induced"	"Promotes"	"Overexpression of SOX5, which is downregulated in glioma cells, inhibited clone formation and proliferation."	"Overexpression of SOX5, which is downregulated in glioma cells, inhibited clone formation and proliferation."
SP1	6667	"Overexpression"	"Lung fibroblast"	"2BS"	"No"	"Replicative"	"Promotes"	"Overexpression of SP1 induced p16 promoter activity and increased SA-beta-galactosidase activity. In contrast, knock-down of SP1 lead to reduced SA-beta-galactosidase staining."	"Overexpression of SP1 induced p16 promoter activity and increased SA-beta-galactosidase activity. In contrast, knock-down of SP1 lead to reduced SA-beta-galactosidase staining."
SPIN1	10927	"Overexpression"	"Cervical cancer"	"HeLa"	"Yes"	"Replicative"	"Promotes"	"Overexpression of SPINDLIN1 (SPIN1) in HeLa cells resulted in multinucleation with cells exhibiting characteristic features of senescence and apoptosis, including morphological alterations and increased SA-beta-galactosidase activity."	"Overexpression of SPINDLIN1 (SPIN1) in HeLa cells resulted in multinucleation with cells exhibiting characteristic features of senescence and apoptosis, including morphological alterations and increased SA-beta-galactosidase activity."
SPOP	8405	"Knockdown, Overexpression"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Promotes"	"It was shown that SPOP promoted senescence by targeting the SENP7 deSUMOylase for degradation. SPOP was upregulated during senescence. This correlated with ubiquitin-mediated degradation of SENP7, which promoted senescence by increasing HP1-alpha sumoylation and the associated epigenetic gene silencing. Ectopic wild-type SPOP but not its cancer-associated mutants was found to drive senescence. Conversely, SPOP knockdown overcame senescence."	"It was shown that SPOP promoted senescence by targeting the SENP7 deSUMOylase for degradation. SPOP was upregulated during senescence. This correlated with ubiquitin-mediated degradation of SENP7, which promoted senescence by increasing HP1-alpha sumoylation and the associated epigenetic gene silencing. Ectopic wild-type SPOP but not its cancer-associated mutants was found to drive senescence. Conversely, SPOP knockdown overcame senescence."
SRC	6714	"Overexpression"	"Fibrosarcoma"	"HT1080"	"Yes"	"Stress-induced"	"Inhibits"	"Overexpression of SRC lead to the inhibition of Adriamycin-induced senescence, including inhibition of G2-G1 checkpoints."	"Overexpression of SRC lead to the inhibition of Adriamycin-induced senescence, including inhibition of G2-G1 checkpoints."
SREBF1	6720	"Overexpression"	"Fibroblast"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Ectopic expression of the mature form of SREBP-1 (SREBF1) in primary young human diploid fibroblasts induced cellular senescence."	"Ectopic expression of the mature form of SREBP-1 (SREBF1) in primary young human diploid fibroblasts induced cellular senescence."
SRSF1	6426	"Overexpression"	"Foreskin fibroblast"	"BJ"	"No"	"Oncogene-induced"	"Promotes"	"Consistent with the stabilization of p53, increased SRSF1 expression in primary human fibroblasts decreased cellular proliferation and ultimately triggered oncogene-induced senescence (OIS)."	"Consistent with the stabilization of p53, increased SRSF1 expression in primary human fibroblasts decreased cellular proliferation and ultimately triggered oncogene-induced senescence (OIS)."
STAT5B	6777	"Overexpression"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Promotes"	"STAT5B was overexpressed in normal lung fibroblasts. Constitutive activation of the JAK/STAT5 signalling pathway induced cellular senescence through the activation of the p53 and Rb tumor suppressor pathways and mitochondrial dysfunction."	"STAT5B was overexpressed in normal lung fibroblasts. Constitutive activation of the JAK/STAT5 signalling pathway induced cellular senescence through the activation of the p53 and Rb tumor suppressor pathways and mitochondrial dysfunction."
STK32C	282974	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
STK40	83931	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
SUPT5H	6829	"Knockout"	"Cervical cancer"	"HeLa"	"Yes"	"Oncogene-induced"	"Inhibits"	"Knockdown of Spt5 (SUPT5H) caused senescence, with cells arrested in the G1 phase and apoptosis."	"Knockdown of Spt5 (SUPT5H) caused senescence, with cells arrested in the G1 phase and apoptosis."
SYK	6850	"Overexpression"	"Melanoma"	"A375, SK-MEL-28, 501-mel"	"Yes"	"Replicative"	"Promotes"	"Expression of SYK in melanoma cells, which normally display lost expression, induced p53-dependent expression of p21 and promoted a senescence-like phenotype, including enlarged cell morphology, increased SA-beta-galactosidase activity and an increase in SA-heterochromatin foci."	"Expression of SYK in melanoma cells, which normally display lost expression, induced p53-dependent expression of p21 and promoted a senescence-like phenotype, including enlarged cell morphology, increased SA-beta-galactosidase activity and an increase in SA-heterochromatin foci."
TACC3	10460	"Knockout"	"Breast cancer"	"MCF-7"	"Yes"	"Stress-induced"	"Inhibits"	"RNAi-mediated depletion of TACC3 in breast carcinoma cells resulted in a progressive loss of the pro-apoptotic Bcl-2 protein Bim, upregulation of p21, downregulation of the RB and extracellular signal-regulated kinase 1/2, ultimately leading to cell arrest in the G1 phase. Cells showed a senescent phenotype including formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity."	"RNAi-mediated depletion of TACC3 in breast carcinoma cells resulted in a progressive loss of the pro-apoptotic Bcl-2 protein Bim, upregulation of p21, downregulation of the RB and extracellular signal-regulated kinase 1/2, ultimately leading to cell arrest in the G1 phase. Cells showed a senescent phenotype including formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity."
TBX2	6909	"Knockdown"	"Melanoma"	"B16"	"Yes"	"Replicative"	"Inhibits"	"Expression of dnTBX2, a dominant-negative of endogenous TBX2, induced senescence in CDKN2A-null B16 melanoma cells, with an observed increase in the level of p21, increased formation of SA-heterochromatin foci, increased SA-beta-galactosidase activity and reduced proliferation."	"Expression of dnTBX2, a dominant-negative of endogenous TBX2, induced senescence in CDKN2A-null B16 melanoma cells, with an observed increase in the level of p21, increased formation of SA-heterochromatin foci, increased SA-beta-galactosidase activity and reduced proliferation."
TERC	7012	"Knockdown"	"Cervical cancer"	"HeLa"	"Yes"	"Replicative"	"Inhibits"	"TERC is the RNA component of telomerase. Cervical cancer cells (HeLa) transfected with antisense hTR (TERC) lost telomeric DNA and their proliferative capacity after 23 to 26 doublings."	"TERC is the RNA component of telomerase. Cervical cancer cells (HeLa) transfected with antisense hTR (TERC) lost telomeric DNA and their proliferative capacity after 23 to 26 doublings."
TERF2	7014	"Knockout"	"Neuroblastoma"	"SH-SY5Y"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of TERF2 in neuroblastoma cells resulted in a significant reduction in their proliferation, accompanied by a decrease of BrdU incorporation, limited growth rate and increased expression of SA-beta-galactosidase."	"Knockdown of TERF2 in neuroblastoma cells resulted in a significant reduction in their proliferation, accompanied by a decrease of BrdU incorporation, limited growth rate and increased expression of SA-beta-galactosidase."
TERT	7015	"Overexpression"	"Foreskin fibroblast, Retinal pigment epithelial"	"RPE-340, BJ"	"No"	"Replicative"	"Inhibits"	"Expression of TERT (hTRT) delayed senescence in normal retinal pigment epithelial cells. RPE-340 cells were transfected with a MPSV-hTRT vector. In cells without hTRT activity (hTRT- RPE) telomere length was found to decrease. In cells that expressed telomerase activity (hTRT+ RPE) endogenous telomere length increased. hTRT+ RPE clones exceeded the mean lifepspan of hTRT- RPE by ~20 doublings, exceeding the maximal RPE life-span. hTRT- RPE clones showed high levels of SA-beta-galactosidase staining. In contrast few of the hTRT+ RPE clones showed staining."	"Expression of TERT (hTRT) delayed senescence in normal retinal pigment epithelial cells. RPE-340 cells were transfected with a MPSV-hTRT vector. In cells without hTRT activity (hTRT- RPE) telomere length was found to decrease. In cells that expressed telomerase activity (hTRT+ RPE) endogenous telomere length increased. hTRT+ RPE clones exceeded the mean lifepspan of hTRT- RPE by ~20 doublings, exceeding the maximal RPE life-span. hTRT- RPE clones showed high levels of SA-beta-galactosidase staining. In contrast few of the hTRT+ RPE clones showed staining."
TFAP4	7023	"Overexpression"	"Retinal pigment epithelial, Breast cancer"	"hTERT-RPE, MCF-7"	"Yes"	"Replicative"	"Promotes"	"Long term cultures of confluent retinal pigment epithelial (RPE) cells were used as a model to examine the role of overexpression of AP4 (TFAP4), a highly expressed transcription factor in many types of cancer, in senescence. Stable inducible RPE cell clones expressing AP4 or AP4 without the DNA binding domain (DN-AP4) were cultured for 24 days. AP4-expressing cells exhibited large, flattened morphology, ceased proliferating, exhibited increased SA-beta-galactosidase activity and the SASP. These changes were not observed in DN-AP4-expressing cells or non-induced cells."	"Long term cultures of confluent retinal pigment epithelial (RPE) cells were used as a model to examine the role of overexpression of AP4 (TFAP4), a highly expressed transcription factor in many types of cancer, in senescence. Stable inducible RPE cell clones expressing AP4 or AP4 without the DNA binding domain (DN-AP4) were cultured for 24 days. AP4-expressing cells exhibited large, flattened morphology, ceased proliferating, exhibited increased SA-beta-galactosidase activity and the SASP. These changes were not observed in DN-AP4-expressing cells or non-induced cells."
TFDP1	7027	"Knockdown"	"Lung cancer, Cervical cancer, Lung fibroblast"	"HeLa, A549, WI-38"	"Yes"	"Replicative"	"Inhibits"	"Impairment of TFDP1, but not TFDP2, increased senescence in diploid fibroblasts but not in p53 null Saos-2 osteosarcoma cells."	"Impairment of TFDP1, but not TFDP2, increased senescence in diploid fibroblasts but not in p53 null Saos-2 osteosarcoma cells."
TGFB1I1	7041	"Knockout, Overexpression"	"Fibroblast"	"KMST-6, SUSM-1"	"No"	"Replicative"	"Promotes"	"The ectopic expression of HIC-5 (TGFB1I1) in nontumorigenic immortalized human fibroblasts decreased colony-forming efficiency and lead to a senescence-like phenotype, including growth retardation, senescence-like morphology and increased expression of Cip1/WAF1/sdi1. In contrast, antisense RNA expression of hic-5 in normal diploid fibroblasts delayed the senescence process."	"The ectopic expression of HIC-5 (TGFB1I1) in nontumorigenic immortalized human fibroblasts decreased colony-forming efficiency and lead to a senescence-like phenotype, including growth retardation, senescence-like morphology and increased expression of Cip1/WAF1/sdi1. In contrast, antisense RNA expression of hic-5 in normal diploid fibroblasts delayed the senescence process."
TLR3	7098	"Overexpression"	"Fibroblast, Keratinocyte"	"Primary cell"	"No"	"Replicative"	"Promotes"	"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines."	"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines."
TMSB4X	7114	"Overexpression"	"Nucleus pulposus"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Nucleus pulposus (NP) cells transfected with recombinant TB-4 (TMSB4X) showed slower cell aging, lower levels of apoptosis and higher cell proliferation than the control group."	"Nucleus pulposus (NP) cells transfected with recombinant TB-4 (TMSB4X) showed slower cell aging, lower levels of apoptosis and higher cell proliferation than the control group."
TNFSF13	8741	"Knockdown"	"Colon cancer"	"SW480"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of APRIL (TNFSF13) levels in colon carcinoma cells inhibited cell proliferation and partially led to a senescence phenotype, including characteristic morphology and increased SA-beta-galactosidase activity."	"Knockdown of APRIL (TNFSF13) levels in colon carcinoma cells inhibited cell proliferation and partially led to a senescence phenotype, including characteristic morphology and increased SA-beta-galactosidase activity."
TNFSF15	9966	"Overexpression, Knockout"	"Endothelial progenitor"	"Primary cell"	"No"	"Replicative"	"Promotes"	"TL1A (TNFSF15) expression was significantly enhanced in senescent circulating endothelial progenitor cells and knockdown of TL1A partially reverted senescence. Contrastly, TL1A overexpression induced premature senescence in both circulating endothelial progenitor cells and human umbilical vein endothelial cells."	"TL1A (TNFSF15) expression was significantly enhanced in senescent circulating endothelial progenitor cells and knockdown of TL1A partially reverted senescence. Contrastly, TL1A overexpression induced premature senescence in both circulating endothelial progenitor cells and human umbilical vein endothelial cells."
TOP1	7150	"Knockout"	"Lung fibroblast"	"WI-38, IMR-90"	"No"	"Replicative"	"Promotes"	"Knockdown of topoisomerase I (TOP1) lead to an increased replicative potential, a decrease in senescence markers and a diminished DNA damage response. Conversely, the constitutive expression of TOP1 induced growth arrest and the appearance of a senescence phenotype."	"Knockdown of topoisomerase I (TOP1) lead to an increased replicative potential, a decrease in senescence markers and a diminished DNA damage response. Conversely, the constitutive expression of TOP1 induced growth arrest and the appearance of a senescence phenotype."
